Date,Sentiment_Score,Prob_Pos,Prob_Neg,News_Volume
"April 01, 2003, Tuesday",-0.060590435,0.07029765,0.13088809,7
"April 01, 2004, Thursday",0.4162911,0.5193451,0.103054,10
"April 01, 2005, Friday",0.40865287,0.4993425,0.09068964,8
"April 01, 2006, Saturday",0.27018952,0.49272054,0.22253104,7
"April 01, 2007, Sunday",0.59217685,0.6155216,0.023344822,3
"April 01, 2008, Tuesday",-0.001628633,0.22352658,0.22515522,12
"April 01, 2009, Wednesday",-0.34580138,0.24128757,0.58708894,18
"April 01, 2010, Thursday",0.31602588,0.53057843,0.21455254,16
"April 01, 2011, Friday",0.18897869,0.40981117,0.22083248,14
"April 01, 2012, Sunday",0.050425142,0.4701733,0.41974816,2
"April 01, 2013, Monday",-0.027210971,0.30275825,0.3299692,9
"April 01, 2014, Tuesday",0.0053228457,0.21269906,0.2073762,18
"April 01, 2015, Wednesday",0.121038616,0.2811638,0.16012518,17
"April 01, 2016, Friday",0.30340812,0.39080846,0.08740037,11
"April 01, 2017, Saturday",0.50048786,0.5115343,0.011046447,3
"April 01, 2018, Sunday",-0.2775431,0.08873433,0.36627743,7
"April 01, 2019, Monday",0.4942524,0.5130846,0.018832209,2
"April 01, 2020, Wednesday",0.10259924,0.24136004,0.1387608,5
"April 02, 2003, Wednesday",0.037219,0.1731801,0.1359611,8
"April 02, 2004, Friday",0.1629608,0.37331918,0.21035841,10
"April 02, 2005, Saturday",-0.08634483,0.17514992,0.26149473,7
"April 02, 2007, Monday",-0.064983815,0.2604906,0.3254744,9
"April 02, 2008, Wednesday",-0.0144786015,0.30940837,0.323887,8
"April 02, 2009, Thursday",-0.19929142,0.20408413,0.40337557,20
"April 02, 2010, Friday",0.20530625,0.38293734,0.1776311,20
"April 02, 2011, Saturday",0.2936245,0.4705347,0.17691028,6
"April 02, 2012, Monday",0.173117,0.41620946,0.24309246,7
"April 02, 2013, Tuesday",0.18339004,0.33637097,0.15298092,11
"April 02, 2014, Wednesday",0.13723476,0.26407206,0.12683731,10
"April 02, 2015, Thursday",0.2414338,0.33301228,0.0915785,15
"April 02, 2016, Saturday",0.33565167,0.35297468,0.017323008,9
"April 02, 2017, Sunday",0.72965884,0.7830924,0.053433515,2
"April 02, 2018, Monday",-0.24096037,0.118488014,0.3594484,7
"April 02, 2019, Tuesday",-0.34405547,0.042113654,0.38616914,10
"April 02, 2020, Thursday",-0.40355065,0.14757504,0.55112565,7
"April 03, 2003, Thursday",-0.05432261,0.21974611,0.27406874,5
"April 03, 2004, Saturday",-0.20099981,0.20630686,0.40730667,8
"April 03, 2005, Sunday",0.25658646,0.31124726,0.054660805,1
"April 03, 2006, Monday",0.45532537,0.471065,0.015739651,4
"April 03, 2007, Tuesday",-0.06901141,0.30930647,0.3783179,9
"April 03, 2008, Thursday",-0.020344138,0.33739492,0.35773906,11
"April 03, 2009, Friday",-0.17795816,0.24185115,0.4198093,15
"April 03, 2010, Saturday",0.29825544,0.53978354,0.24152806,7
"April 03, 2011, Sunday",0.21472114,0.5761072,0.36138606,3
"April 03, 2012, Tuesday",-0.09938645,0.2957019,0.39508834,7
"April 03, 2013, Wednesday",0.2963141,0.3887335,0.09241939,9
"April 03, 2014, Thursday",0.24177851,0.30392295,0.062144443,18
"April 03, 2015, Friday",-0.03184336,0.30092162,0.33276498,3
"April 03, 2016, Sunday",0.16029051,0.33510032,0.17480983,6
"April 03, 2017, Monday",-0.1148852,0.24097957,0.35586476,7
"April 03, 2018, Tuesday",-0.46573704,0.18284947,0.6485866,5
"April 03, 2019, Wednesday",-0.2193521,0.11244623,0.33179834,5
"April 03, 2020, Friday",-0.68423784,0.01940472,0.7036426,4
"April 04, 2003, Friday",0.016641544,0.15097801,0.13433646,9
"April 04, 2005, Monday",0.07181849,0.36408973,0.29227123,14
"April 04, 2006, Tuesday",-0.1298994,0.2583482,0.38824758,12
"April 04, 2007, Wednesday",0.19565865,0.37395325,0.17829458,14
"April 04, 2008, Friday",-0.17663251,0.15951893,0.33615142,10
