Date,Price,Open,High,Low,Vol.,Change %
31-12-2020,"31,264.05","31,295.90","31,409.50","31,088.10",364.12M,-0.12%
30-12-2020,"31,303.05","31,479.80","31,510.25","31,007.15",267.80M,-0.06%
29-12-2020,"31,322.50","31,006.90","31,359.35","31,002.60",389.22M,1.43%
28-12-2020,"30,880.95","30,558.85","30,929.05","30,538.15",317.21M,1.57%
24-12-2020,"30,402.20","30,071.65","30,545.85","30,007.80",300.01M,1.74%
23-12-2020,"29,883.30","29,560.75","29,941.40","29,446.00",379.38M,0.87%
22-12-2020,"29,625.95","29,607.50","29,711.15","28,976.75",464.42M,0.58%
21-12-2020,"29,456.45","30,595.80","30,607.50","29,201.20",390.94M,-4.10%
18-12-2020,"30,714.65","30,841.85","30,854.05","30,374.50",278.14M,-0.43%
17-12-2020,"30,847.05","30,791.20","30,945.20","30,643.90",260.66M,0.48%
16-12-2020,"30,698.40","30,920.35","30,932.25","30,587.10",380.59M,0.02%
15-12-2020,"30,691.05","30,805.40","30,805.85","30,345.75",279.37M,-0.18%
14-12-2020,"30,745.90","30,735.15","30,845.80","30,624.25",269.04M,0.46%
11-12-2020,"30,604.85","30,555.30","30,811.80","30,328.45",409.94M,0.31%
10-12-2020,"30,510.35","30,545.35","30,610.00","30,202.10",335.77M,-0.65%
09-12-2020,"30,709.40","30,335.05","30,807.25","30,326.70",542.52M,1.48%
08-12-2020,"30,261.90","30,300.30","30,363.80","30,025.20",586.85M,0.17%
07-12-2020,"30,211.55","30,062.60","30,354.20","29,950.60",431.76M,0.53%
04-12-2020,"30,052.40","29,573.40","30,162.30","29,473.50",466.91M,2.05%
03-12-2020,"29,448.75","29,728.90","29,813.00","29,379.40",419.24M,-0.05%
02-12-2020,"29,463.15","29,876.70","29,886.25","29,149.90",374.28M,-1.19%
01-12-2020,"29,817.85","29,844.80","29,919.75","29,511.00",325.61M,0.71%
27-11-2020,"29,609.05","29,622.00","29,716.85","29,368.70",494.40M,0.20%
26-11-2020,"29,549.75","29,370.40","29,623.00","28,923.10",369.37M,1.21%
25-11-2020,"29,196.40","30,021.90","30,197.85","29,132.30",546.08M,-1.82%
24-11-2020,"29,737.25","29,265.60","29,827.80","29,206.75",348.06M,2.46%
23-11-2020,"29,024.20","29,432.80","29,492.30","28,852.90",395.63M,-0.72%
20-11-2020,"29,236.00","28,935.75","29,406.70","28,580.90",320.01M,1.15%
19-11-2020,"28,903.05","29,302.60","29,627.20","28,819.55",358.60M,-2.85%
18-11-2020,"29,749.85","29,107.90","29,784.75","29,056.75",487.62M,1.95%
17-11-2020,"29,181.30","28,792.25","29,239.25","28,722.90",317.31M,2.05%
14-11-2020,"28,594.30","28,685.70","28,752.45","28,431.85",43.67M,0.45%
13-11-2020,"28,465.70","28,108.70","28,520.55","27,703.30",330.89M,0.66%
